YEAR,Demand
2030,"149,233.30"
2031,150040.757
2032,151231.8399
2033,151595.3502
2034,152382.8893
2035,153178.2812
2036,154451.3266
2037,154791.0165
2038,155607.0752
2039,156421.3776
2040,158168.7854
