Month,Day,Period,Solar PV
1,12,15,60.50
1,12,16,53.23
1,12,17,37.92
1,12,18,25.92
1,12,19,0.00
1,12,20,0.00
1,12,21,0.00
1,12,22,0.00
1,12,23,0.00
1,12,24,0.00
1,13,1,0.00
1,13,2,0.00
1,13,3,0.00
1,13,4,0.00
1,13,5,0.00
1,13,6,0.00
1,13,7,0.00
1,13,8,0.00
1,13,9,21.63
1,13,10,49.42
1,13,11,58.36
1,13,12,57.22
1,13,13,56.74
1,13,14,57.02
1,13,15,58.97
1,13,16,53.96
1,13,17,43.92
1,13,18,23.59
1,13,19,0.00
1,13,20,0.00
1,13,21,0.00
1,13,22,0.00
1,13,23,0.00
1,13,24,0.00
1,14,1,0.00
1,14,2,0.00
1,14,3,0.00
1,14,4,0.00
1,14,5,0.00
1,14,6,0.00
1,14,7,0.00
1,14,8,0.00
1,14,9,24.45
1,14,10,55.37
1,14,11,59.88
1,14,12,53.93
1,14,13,47.74
1,14,14,44.63
1,14,15,48.29
1,14,16,46.75
1,14,17,38.33
1,14,18,15.58
1,14,19,0.00
1,14,20,0.00
1,14,21,0.00
1,14,22,0.00
1,14,23,0.00
1,14,24,0.00
1,15,1,0.00
1,15,2,0.00
1,15,3,0.00
1,15,4,0.00
1,15,5,0.00
1,15,6,0.00
1,15,7,0.00
1,15,8,0.00
1,15,9,25.30
1,15,10,52.46
1,15,11,55.82
1,15,12,57.28
1,15,13,58.66
1,15,14,58.12
1,15,15,59.06
1,15,16,50.61
1,15,17,40.24
1,15,18,23.12
1,15,19,0.00
1,15,20,0.00
1,15,21,0.00
1,15,22,0.00
1,15,23,0.00
1,15,24,0.00
1,16,1,0.00
1,16,2,0.00
1,16,3,0.00
1,16,4,0.00
1,16,5,0.00
1,16,6,0.00
1,16,7,0.00
1,16,8,0.00
1,16,9,27.32
1,16,10,61.56
1,16,11,66.40
1,16,12,66.88
1,16,13,65.66
1,16,14,64.87
1,16,15,65.37
1,16,16,66.13
1,16,17,64.75
1,16,18,43.27
1,16,19,0.00
1,16,20,0.00
1,16,21,0.00
1,16,22,0.00
1,16,23,0.00
1,16,24,0.00
1,17,1,0.00
1,17,2,0.00
1,17,3,0.00
1,17,4,0.00
1,17,5,0.00
1,17,6,0.00
1,17,7,0.00
1,17,8,0.00
1,17,9,15.12
1,17,10,29.97
1,17,11,37.02
1,17,12,47.00
1,17,13,55.94
1,17,14,55.94
1,17,15,59.31
1,17,16,56.76
1,17,17,41.73
1,17,18,17.00
1,17,19,0.00
1,17,20,0.00
1,17,21,0.00
1,17,22,0.00
1,17,23,0.00
1,17,24,0.00
1,18,1,0.00
1,18,2,0.00
1,18,3,0.00
1,18,4,0.00
1,18,5,0.00
1,18,6,0.00
1,18,7,0.00
1,18,8,0.00
1,18,9,26.11
1,18,10,58.44
1,18,11,64.12
1,18,12,65.49
1,18,13,64.63
1,18,14,63.63
1,18,15,63.88
1,18,16,64.33
1,18,17,61.57
1,18,18,41.41
1,18,19,0.00
1,18,20,0.00
1,18,21,0.00
1,18,22,0.00
1,18,23,0.00
1,18,24,0.00
1,19,1,0.00
1,19,2,0.00
1,19,3,0.00
1,19,4,0.00
1,19,5,0.00
1,19,6,0.00
1,19,7,0.00
1,19,8,0.00
1,19,9,24.61
1,19,10,56.34
1,19,11,62.13
1,19,12,63.25
1,19,13,62.21
1,19,14,61.68
1,19,15,63.37
1,19,16,63.96
1,19,17,61.51
1,19,18,43.29
1,19,19,0.00
1,19,20,0.00
1,19,21,0.00
1,19,22,0.00
1,19,23,0.00
1,19,24,0.00
1,20,1,0.00
1,20,2,0.00
1,20,3,0.00
1,20,4,0.00
1,20,5,0.00
1,20,6,0.00
1,20,7,0.00
1,20,8,0.00
1,20,9,21.59
1,20,10,55.11
1,20,11,63.46
1,20,12,62.41
1,20,13,59.66
1,20,14,57.50
1,20,15,57.24
1,20,16,57.24
1,20,17,57.74
1,20,18,37.13
1,20,19,0.00
1,20,20,0.00
1,20,21,0.00
1,20,22,0.00
1,20,23,0.00
1,20,24,0.00
1,21,1,0.00
1,21,2,0.00
1,21,3,0.00
1,21,4,0.00
1,21,5,0.00
1,21,6,0.00
1,21,7,0.00
1,21,8,0.00
1,21,9,21.19
1,21,10,48.64
1,21,11,55.98
1,21,12,59.71
1,21,13,57.58
1,21,14,55.71
1,21,15,58.89
1,21,16,59.71
1,21,17,50.28
1,21,18,30.65
1,21,19,0.00
1,21,20,0.00
1,21,21,0.00
1,21,22,0.00
1,21,23,0.00
1,21,24,0.00
1,22,1,0.00
1,22,2,0.00
1,22,3,0.00
1,22,4,0.00
1,22,5,0.00
1,22,6,0.00
1,22,7,0.00
1,22,8,0.00
1,22,9,8.65
1,22,10,17.75
1,22,11,7.79
1,22,12,36.07
1,22,13,27.24
1,22,14,29.26
1,22,15,22.96
1,22,16,41.16
1,22,17,52.62
1,22,18,44.52
1,22,19,0.00
1,22,20,0.00
1,22,21,0.00
1,22,22,0.00
1,22,23,0.00
1,22,24,0.00
1,23,1,0.00
1,23,2,0.00
1,23,3,0.00
1,23,4,0.00
1,23,5,0.00
1,23,6,0.00
1,23,7,0.00
1,23,8,0.00
1,23,9,29.41
1,23,10,64.13
1,23,11,68.60
1,23,12,68.22
1,23,13,67.06
1,23,14,65.66
1,23,15,66.85
1,23,16,66.93
1,23,17,64.76
1,23,18,45.30
1,23,19,0.00
1,23,20,0.00
1,23,21,0.00
1,23,22,0.00
1,23,23,0.00
1,23,24,0.00
1,24,1,0.00
1,24,2,0.00
1,24,3,0.00
1,24,4,0.00
1,24,5,0.00
1,24,6,0.00
1,24,7,0.00
1,24,8,0.00
1,24,9,30.43
1,24,10,65.50
1,24,11,69.52
1,24,12,69.84
1,24,13,68.82
1,24,14,68.11
1,24,15,69.18
1,24,16,69.31
1,24,17,67.35
1,24,18,48.59
1,24,19,0.00
1,24,20,0.00
1,24,21,0.00
1,24,22,0.00
1,24,23,0.00
1,24,24,0.00
1,25,1,0.00
1,25,2,0.00
1,25,3,0.00
1,25,4,0.00
1,25,5,0.00
1,25,6,0.00
1,25,7,0.00
1,25,8,0.00
1,25,9,29.35
1,25,10,63.85
1,25,11,68.88
1,25,12,69.17
1,25,13,68.29
1,25,14,67.71
1,25,15,68.50
1,25,16,68.84
1,25,17,67.25
1,25,18,49.26
1,25,19,0.00
1,25,20,0.00
1,25,21,0.00
1,25,22,0.00
1,25,23,0.00
1,25,24,0.00
1,26,1,0.00
1,26,2,0.00
1,26,3,0.00
1,26,4,0.00
1,26,5,0.00
1,26,6,0.00
1,26,7,0.00
1,26,8,0.00
1,26,9,21.72
1,26,10,55.26
1,26,11,62.40
1,26,12,64.63
1,26,13,64.58
1,26,14,64.75
1,26,15,65.40
1,26,16,64.35
1,26,17,61.39
1,26,18,44.59
1,26,19,0.00
1,26,20,0.00
1,26,21,0.00
1,26,22,0.00
1,26,23,0.00
1,26,24,0.00
1,27,1,0.00
1,27,2,0.00
1,27,3,0.00
1,27,4,0.00
1,27,5,0.00
1,27,6,0.00
1,27,7,0.00
1,27,8,0.00
1,27,9,4.55
1,27,10,19.80
1,27,11,53.93
1,27,12,59.79
1,27,13,39.93
1,27,14,46.87
1,27,15,43.57
1,27,16,27.19
1,27,17,18.48
1,27,18,1.02
1,27,19,0.00
1,27,20,0.00
1,27,21,0.00
1,27,22,0.00
1,27,23,0.00
1,27,24,0.00
1,28,1,0.00
1,28,2,0.00
1,28,3,0.00
1,28,4,0.00
1,28,5,0.00
1,28,6,0.00
1,28,7,0.00
1,28,8,0.00
1,28,9,15.76
1,28,10,43.65
1,28,11,52.87
1,28,12,56.17
1,28,13,57.58
1,28,14,57.11
1,28,15,55.77
1,28,16,53.38
1,28,17,48.27
1,28,18,31.25
1,28,19,0.00
1,28,20,0.00
1,28,21,0.00
1,28,22,0.00
1,28,23,0.00
1,28,24,0.00
1,29,1,0.00
1,29,2,0.00
1,29,3,0.00
1,29,4,0.00
1,29,5,0.00
1,29,6,0.00
1,29,7,0.00
1,29,8,0.00
1,29,9,20.40
1,29,10,49.72
1,29,11,61.01
1,29,12,56.02
1,29,13,61.70
1,29,14,59.63
1,29,15,58.52
1,29,16,54.62
1,29,17,44.13
1,29,18,22.51
1,29,19,0.00
1,29,20,0.00
1,29,21,0.00
1,29,22,0.00
1,29,23,0.00
1,29,24,0.00
1,30,1,0.00
1,30,2,0.00
1,30,3,0.00
1,30,4,0.00
1,30,5,0.00
1,30,6,0.00
1,30,7,0.00
1,30,8,0.00
1,30,9,8.04
1,30,10,6.65
1,30,11,9.55
1,30,12,13.78
1,30,13,22.06
1,30,14,30.45
1,30,15,34.56
1,30,16,47.06
1,30,17,57.31
1,30,18,39.78
1,30,19,0.85
1,30,20,0.00
1,30,21,0.00
1,30,22,0.00
1,30,23,0.00
1,30,24,0.00
1,31,1,0.00
1,31,2,0.00
1,31,3,0.00
1,31,4,0.00
1,31,5,0.00
1,31,6,0.00
1,31,7,0.00
1,31,8,0.00
1,31,9,6.97
1,31,10,32.50
1,31,11,45.97
1,31,12,62.58
1,31,13,54.34
1,31,14,42.04
1,31,15,40.25
1,31,16,22.79
1,31,17,12.80
1,31,18,6.40
1,31,19,0.00
1,31,20,0.00
1,31,21,0.00
1,31,22,0.00
1,31,23,0.00
1,31,24,0.00
2,1,1,0.00
2,1,2,0.00
2,1,3,0.00
2,1,4,0.00
2,1,5,0.00
2,1,6,0.00
2,1,7,0.00
2,1,8,0.00
2,1,9,25.17
2,1,10,59.31
2,1,11,67.28
2,1,12,66.48
2,1,13,65.39
2,1,14,65.42
2,1,15,64.89
2,1,16,65.93
2,1,17,61.83
2,1,18,43.76
2,1,19,0.00
2,1,20,0.00
2,1,21,0.00
2,1,22,0.00
2,1,23,0.00
2,1,24,0.00
2,2,1,0.00
2,2,2,0.00
2,2,3,0.00
2,2,4,0.00
2,2,5,0.00
2,2,6,0.00
2,2,7,0.00
2,2,8,0.00
2,2,9,10.19
2,2,10,39.16
2,2,11,39.65
2,2,12,52.91
2,2,13,59.42
2,2,14,60.69
2,2,15,66.70
2,2,16,57.40
2,2,17,42.24
2,2,18,28.56
2,2,19,0.73
2,2,20,0.00
2,2,21,0.00
2,2,22,0.00
2,2,23,0.00
2,2,24,0.00
2,3,1,0.00
2,3,2,0.00
2,3,3,0.00
2,3,4,0.00
2,3,5,0.00
2,3,6,0.00
2,3,7,0.00
2,3,8,0.00
2,3,9,18.05
2,3,10,31.04
2,3,11,47.69
2,3,12,53.85
2,3,13,58.44
2,3,14,59.50
2,3,15,59.44
2,3,16,64.24
2,3,17,57.07
2,3,18,35.92
2,3,19,1.57
2,3,20,0.00
2,3,21,0.00
2,3,22,0.00
2,3,23,0.00
2,3,24,0.00
2,4,1,0.00
2,4,2,0.00
2,4,3,0.00
2,4,4,0.00
2,4,5,0.00
2,4,6,0.00
2,4,7,0.00
2,4,8,0.00
2,4,9,8.09
2,4,10,27.38
2,4,11,45.12
2,4,12,51.60
2,4,13,55.60
2,4,14,56.44
2,4,15,63.84
2,4,16,65.07
2,4,17,57.71
2,4,18,36.61
2,4,19,1.19
2,4,20,0.00
2,4,21,0.00
2,4,22,0.00
2,4,23,0.00
2,4,24,0.00
2,5,1,0.00
2,5,2,0.00
2,5,3,0.00
2,5,4,0.00
2,5,5,0.00
2,5,6,0.00
2,5,7,0.00
2,5,8,0.00
2,5,9,17.99
2,5,10,45.67
2,5,11,56.35
2,5,12,58.64
2,5,13,58.50
2,5,14,59.53
2,5,15,60.58
2,5,16,58.53
2,5,17,59.12
2,5,18,35.97
2,5,19,0.97
2,5,20,0.00
2,5,21,0.00
2,5,22,0.00
2,5,23,0.00
2,5,24,0.00
2,6,1,0.00
2,6,2,0.00
2,6,3,0.00
2,6,4,0.00
2,6,5,0.00
2,6,6,0.00
2,6,7,0.00
2,6,8,0.00
2,6,9,12.04
2,6,10,33.23
2,6,11,50.38
2,6,12,62.39
2,6,13,63.00
2,6,14,67.24
2,6,15,61.71
2,6,16,60.09
2,6,17,59.43
2,6,18,40.28
2,6,19,1.17
2,6,20,0.00
2,6,21,0.00
2,6,22,0.00
2,6,23,0.00
2,6,24,0.00
2,7,1,0.00
2,7,2,0.00
2,7,3,0.00
2,7,4,0.00
2,7,5,0.00
2,7,6,0.00
2,7,7,0.00
2,7,8,0.00
2,7,9,15.44
2,7,10,43.72
2,7,11,60.86
2,7,12,60.41
2,7,13,63.55
2,7,14,61.49
2,7,15,66.96
2,7,16,60.39
2,7,17,46.22
2,7,18,29.09
2,7,19,0.82
2,7,20,0.00
2,7,21,0.00
2,7,22,0.00
2,7,23,0.00
2,7,24,0.00
2,8,1,0.00
2,8,2,0.00
2,8,3,0.00
2,8,4,0.00
2,8,5,0.00
2,8,6,0.00
2,8,7,0.00
2,8,8,0.00
2,8,9,19.30
2,8,10,43.06
2,8,11,40.62
2,8,12,56.00
2,8,13,63.79
2,8,14,58.25
2,8,15,60.31
2,8,16,65.20
2,8,17,58.97
2,8,18,35.48
2,8,19,0.91
2,8,20,0.00
2,8,21,0.00
2,8,22,0.00
2,8,23,0.00
2,8,24,0.00
2,9,1,0.00
2,9,2,0.00
2,9,3,0.00
2,9,4,0.00
2,9,5,0.00
2,9,6,0.00
2,9,7,0.00
2,9,8,0.00
